节点编号,时间戳,空气温度(℃),空气湿度(%),土壤温度(℃),土壤水分(%),空气CO2浓度(ppm),光照强度(lux)
6001, 2014-03-12 16:01:24,20.27,24.22,8.56,46.92,0.00,0.00
6001, 2014-03-12 15:56:25,21.02,24.71,8.50,46.87,0.00,0.00
6001, 2014-03-12 15:51:23,20.86,23.54,8.50,46.87,0.00,0.00
6001, 2014-03-12 15:46:20,19.80,26.18,8.44,46.82,0.00,0.00
6001, 2014-03-12 15:41:20,19.84,26.55,8.44,46.87,0.00,0.00
6001, 2014-03-12 15:36:19,20.56,23.52,0.00,46.87,0.00,0.00
6001, 2014-03-12 15:31:21,20.39,28.71,8.31,46.87,0.00,0.00
6001, 2014-03-12 15:28:16,20.12,25.26,8.31,46.82,0.00,0.00
6001, 2014-03-12 15:23:16,20.33,24.97,8.31,46.82,0.00,0.00
6001, 2014-03-12 15:18:16,20.58,25.29,8.25,46.87,0.00,0.00
6001, 2014-03-12 15:13:21,20.00,24.43,8.25,46.82,0.00,0.00
6001, 2014-03-12 15:13:16,20.00,24.43,8.25,46.82,0.00,0.00
6001, 2014-03-12 15:06:09,19.83,24.96,8.19,46.82,0.00,0.00
6001, 2014-03-12 15:01:15,20.27,25.98,8.13,46.82,0.00,0.00
6001, 2014-03-12 14:56:09,20.56,25.15,8.13,46.87,0.00,0.00
6001, 2014-03-12 14:52:03,20.44,26.36,8.06,46.87,0.00,0.00
6001, 2014-03-12 14:49:12,19.98,27.20,8.06,46.82,0.00,0.00
6001, 2014-03-12 14:49:04,19.98,27.20,8.06,46.82,0.00,0.00
6001, 2014-03-12 14:48:58,19.98,27.20,8.06,46.82,0.00,0.00
6001, 2014-03-12 14:44:04,19.04,29.60,8.00,46.87,0.00,0.00
6001, 2014-03-12 14:39:10,18.78,26.97,7.94,46.87,0.00,0.00
6001, 2014-03-12 14:39:05,18.78,26.97,7.94,46.87,0.00,0.00
6001, 2014-03-12 14:38:59,18.78,26.97,7.94,46.87,0.00,0.00
6001, 2014-03-12 14:34:10,18.96,28.23,7.94,46.87,0.00,0.00
6001, 2014-03-12 14:34:02,18.96,28.23,7.94,46.87,0.00,0.00
6001, 2014-03-12 14:28:53,18.69,29.91,7.94,46.82,0.00,0.00
6001, 2014-03-12 14:23:52,19.01,29.20,7.88,46.87,0.00,0.00
6001, 2014-03-12 14:18:55,17.82,26.90,7.81,46.82,0.00,0.00
6001, 2014-03-12 14:14:00,18.50,28.82,7.75,46.82,0.00,0.00
6001, 2014-03-12 14:13:53,18.50,28.82,7.75,46.82,0.00,0.00
6001, 2014-03-12 14:01:52,18.20,30.89,7.75,46.87,0.00,0.00
6001, 2014-03-12 14:01:46,18.20,30.89,7.75,46.87,0.00,0.00
6001, 2014-03-12 13:57:41,18.10,26.65,7.69,46.82,0.00,0.00
6001, 2014-03-12 13:57:35,18.10,26.65,7.69,46.82,0.00,0.00
6001, 2014-03-12 13:57:28,18.10,26.65,7.69,46.82,0.00,0.00
6001, 2014-03-12 13:52:29,18.31,27.81,7.69,46.82,0.00,0.00
6001, 2014-03-12 13:46:21,18.05,27.92,7.63,46.82,0.00,0.00
6001, 2014-03-12 13:41:34,17.26,27.06,7.56,46.82,0.00,0.00
6001, 2014-03-12 13:41:28,17.26,27.06,7.56,46.82,0.00,0.00
6001, 2014-03-12 13:41:21,17.26,27.06,7.56,46.82,0.00,0.00
6001, 2014-03-12 13:36:21,17.19,29.75,7.56,46.82,0.00,0.00
6001, 2014-03-12 13:28:19,17.84,28.50,7.50,46.82,0.00,0.00
6001, 2014-03-12 13:23:25,17.52,28.08,7.50,46.82,0.00,0.00
6001, 2014-03-12 13:23:18,17.52,28.08,7.50,46.82,0.00,0.00
6001, 2014-03-12 13:18:20,17.32,28.46,7.44,46.77,0.00,0.00
6001, 2014-03-12 13:13:18,17.88,28.24,7.44,46.72,0.00,0.00
6001, 2014-03-12 13:04:14,18.26,27.87,7.38,46.72,0.00,0.00
6001, 2014-03-12 12:59:15,18.30,25.33,7.38,46.68,0.00,0.00
6001, 2014-03-12 12:54:13,18.16,30.82,7.31,46.68,0.00,0.00
6001, 2014-03-12 12:49:21,17.72,28.63,7.31,46.72,0.00,0.00
6001, 2014-03-12 12:39:15,17.13,32.65,7.31,46.77,0.00,0.00
6001, 2014-03-12 12:34:08,16.74,31.72,7.25,46.72,0.00,0.00
6001, 2014-03-12 12:27:14,16.50,31.57,7.25,46.72,0.00,0.00
6001, 2014-03-12 12:27:07,16.50,31.57,7.25,46.72,0.00,0.00
6001, 2014-03-12 12:27:01,16.50,31.57,7.25,46.72,0.00,0.00
6001, 2014-03-12 12:22:38,16.43,30.31,7.19,46.77,0.00,0.00
6001, 2014-03-12 12:22:32,16.43,30.31,7.19,46.77,0.00,0.00
6001, 2014-03-12 12:17:32,16.36,29.98,7.19,46.72,0.00,0.00
6001, 2014-03-12 12:12:33,16.21,30.75,7.19,46.72,0.00,0.00
6001, 2014-03-12 12:08:33,16.44,28.86,7.19,46.68,0.00,0.00
6001, 2014-03-12 12:08:28,16.44,28.86,7.19,46.68,0.00,0.00
6001, 2014-03-12 12:03:33,16.26,31.81,7.19,46.72,0.00,0.00
6001, 2014-03-12 12:03:27,16.26,31.81,7.19,46.72,0.00,0.00
6001, 2014-03-12 11:58:29,16.14,30.58,7.13,46.72,0.00,0.00
6001, 2014-03-12 11:53:28,16.08,29.42,7.13,46.68,0.00,0.00
6001, 2014-03-12 11:50:20,16.06,31.53,7.13,46.72,0.00,0.00
6001, 2014-03-12 11:45:20,16.10,32.65,7.13,46.68,0.00,0.00
6001, 2014-03-12 11:40:21,15.78,30.88,7.13,46.72,0.00,0.00
6001, 2014-03-12 11:35:21,15.39,28.90,7.13,46.72,0.00,0.00
6001, 2014-03-12 11:29:23,14.28,32.94,7.13,46.77,0.00,0.00
6001, 2014-03-12 11:29:17,14.28,32.94,7.13,46.77,0.00,0.00
6001, 2014-03-12 11:24:24,13.46,34.16,7.06,46.77,0.00,0.00
6001, 2014-03-12 11:24:18,13.46,34.16,7.06,46.77,0.00,0.00
6001, 2014-03-12 11:19:17,13.50,34.46,7.06,46.77,0.00,0.00
6001, 2014-03-12 11:14:17,14.33,33.89,7.06,46.68,0.00,0.00
6001, 2014-03-12 11:08:10,15.28,31.00,7.06,46.72,0.00,0.00
6001, 2014-03-12 10:58:09,14.30,35.09,7.06,46.72,0.00,0.00
6001, 2014-03-12 10:53:10,14.24,32.68,7.06,46.72,0.00,0.00
6001, 2014-03-12 10:50:07,14.44,34.19,7.06,46.68,0.00,0.00
6001, 2014-03-12 10:45:06,14.48,31.46,7.06,46.72,0.00,0.00
6001, 2014-03-12 10:40:05,14.71,33.76,7.06,46.68,0.00,0.00
6001, 2014-03-12 10:35:17,14.37,33.21,7.06,46.68,0.00,0.00
6001, 2014-03-12 10:35:06,14.37,33.21,7.06,46.68,0.00,0.00
6001, 2014-03-12 10:27:58,13.84,37.30,7.06,99.00,0.00,0.00
6001, 2014-03-12 10:23:28,13.44,32.93,7.06,46.77,0.00,0.00
6001, 2014-03-12 10:18:33,13.18,34.98,7.06,46.72,0.00,0.00
6001, 2014-03-12 10:18:21,13.18,34.98,7.06,46.72,0.00,0.00
6001, 2014-03-12 10:13:22,13.10,35.29,7.06,46.72,0.00,0.00
6001, 2014-03-12 10:08:20,12.92,35.98,7.06,46.72,0.00,0.00
6001, 2014-03-12 10:08:14,12.92,35.98,7.06,46.72,0.00,0.00
6001, 2014-03-12 10:03:14,12.67,37.78,7.06,46.77,0.00,0.00
6001, 2014-03-12 09:58:14,12.76,37.63,7.06,46.72,0.00,0.00
6001, 2014-03-12 09:53:14,12.76,42.80,7.06,46.68,0.00,0.00
6001, 2014-03-12 09:50:11,12.68,40.23,7.06,46.77,0.00,0.00
6001, 2014-03-12 09:50:05,12.68,40.23,7.06,46.77,0.00,0.00
6001, 2014-03-12 09:45:06,12.50,42.30,7.06,46.77,0.00,0.00
6001, 2014-03-12 09:40:05,12.24,40.82,7.13,46.77,0.00,0.00
6001, 2014-03-12 09:35:05,11.92,40.40,7.06,46.77,0.00,0.00
6001, 2014-03-12 09:22:00,10.61,47.20,7.06,46.82,0.00,0.00
6001, 2014-03-12 09:17:40,10.38,46.90,7.13,46.82,0.00,0.00
6001, 2014-03-12 09:12:40,10.23,47.06,7.13,46.82,0.00,0.00
6001, 2014-03-12 09:10:37,10.18,46.69,7.13,46.87,0.00,0.00
6001, 2014-03-12 09:05:36,9.98,46.72,7.13,46.87,0.00,0.00
6001, 2014-03-12 09:00:36,9.79,47.87,7.13,46.82,0.00,0.00
6001, 2014-03-12 08:56:28,9.66,47.14,7.13,46.82,0.00,0.00
6001, 2014-03-12 08:49:26,9.52,48.50,7.19,46.82,0.00,0.00
6001, 2014-03-12 08:44:26,9.44,47.24,7.13,46.87,0.00,0.00
6001, 2014-03-12 08:39:31,9.28,46.20,7.13,46.82,0.00,0.00
6001, 2014-03-12 08:34:26,9.10,48.78,7.19,46.82,0.00,0.00
6001, 2014-03-12 08:32:17,9.01,48.92,7.19,46.82,0.00,0.00
6001, 2014-03-12 08:22:16,8.46,49.88,7.19,46.87,0.00,0.00
6001, 2014-03-12 08:17:24,8.32,49.74,7.19,46.87,0.00,0.00
6001, 2014-03-12 08:17:18,8.32,49.74,7.19,46.87,0.00,0.00
6001, 2014-03-12 08:08:12,8.57,49.96,7.19,46.87,0.00,0.00
6001, 2014-03-12 08:03:12,8.72,49.49,7.19,46.92,0.00,0.00
6001, 2014-03-12 07:43:07,8.34,49.32,7.25,46.92,0.00,0.00
6001, 2014-03-12 07:38:20,8.46,50.06,7.25,46.87,0.00,0.00
6001, 2014-03-12 07:38:13,8.46,50.06,7.25,46.87,0.00,0.00
6001, 2014-03-12 07:38:07,8.46,50.06,7.25,46.87,0.00,0.00
6001, 2014-03-12 07:33:08,8.46,47.84,7.25,46.92,0.00,0.00
6001, 2014-03-12 07:30:06,8.38,48.29,7.25,46.87,0.00,0.00
6001, 2014-03-12 07:25:07,8.34,48.56,7.25,46.92,0.00,0.00
6001, 2014-03-12 07:20:06,8.20,48.02,7.25,46.92,0.00,0.00
6001, 2014-03-12 07:15:05,8.09,49.80,7.31,46.92,0.00,0.00
6001, 2014-03-12 07:07:59,8.01,49.82,7.31,46.87,0.00,0.00
6001, 2014-03-12 07:02:59,7.96,50.12,7.31,46.87,0.00,0.00
6001, 2014-03-12 06:57:59,7.91,50.50,7.31,46.87,0.00,0.00
6001, 2014-03-12 06:52:59,7.95,50.02,7.31,46.92,0.00,0.00
